asset_id,display_name,tx_hash,listing_id,listed_at,price_lovelace,listing_type
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a35383833,ADA Ninjaz - Aramar #5883,249aea698e372bed125f97c3e6f6f511b340a5f4e4b16947c83cf3e13356b98c#0,21150728,2023-01-04T04:06:34.000Z,140000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a33303238,ADA Ninjaz - Aramar #3028,580937bcd6e9fedbaaf948e86db120d57a8853ffe0f1e8dff838843e96933b53#0,21150714,2023-01-04T04:05:23.000Z,140000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a33393638,ADA Ninjaz - Aramar #3968,309e500b39d6b0a3f6815c8ad5d2aa510d5c708233e2b0d4a2685b139ded05a4#0,21150625,2023-01-04T03:46:34.000Z,175000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a31343933,ADA Ninjaz - Aramar #1493,2d84fd4c3da52af19fb215ec8da4646003f1892d42618f3087e2d0b1dab8c832#0,20559288,2023-01-03T01:11:00.286Z,625000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a37343330,ADA Ninjaz - Aramar #7430,80e0eb6433aa6d9437839d437b777e7a259e200a0b32b3f594e1000ad04c6f11#0,21140176,2023-01-02T20:30:48.643Z,540000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a34313737,ADA Ninjaz - Aramar #4177,6df76c5c3b482e6408f4e3e4e50d11706c10c85f0da397c53fc3068f629c5374#0,21140165,2023-01-02T20:29:37.364Z,555000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a37353535,ADA Ninjaz - Aramar #7555,fc5466ca5927b03baaa5ce77dc4e384f097d8490eea8286635ba5ccd45b6d868#0,21127173,2022-12-31T20:33:20.710Z,150000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a31373332,ADA Ninjaz - Aramar #1732,92e309c9a1ed48b79788f2ea4d3f6d4e413e8f46af410315dd248c81ca6279ed#0,21125888,2022-12-31T15:56:36.290Z,200000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a35373936,ADA Ninjaz - Aramar #5796,a6d241509cb7f23746055252ccb99075675caa80bcaac57e42b37c88d3aa464e#0,21013759,2022-12-31T05:15:34.900Z,216000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a31353136,ADA Ninjaz - Aramar #1516,e9df5344ba2d7e8318117686e77e68b9fc45865a85459d174938368db6c014c4#0,21008931,2022-12-31T05:14:10.135Z,220000000,SINGLE_ASSET
